srcNodeId,dstNodeId,bandwidth,latency
5,14,10.0,9742.709106319737
27,4,6.0,4999.97
8,18,10.0,5072.026574688699
24,18,20.0,3691.9280472772443
14,16,2.0,9026.610339679259
2,5,8.0,11113.76428480069
10,6,8.0,6255.004614418935
4,12,2.0,16872.390065556985
21,12,4.0,13148.030121696722
4,25,4.0,4725.06828605282
28,7,2.0,9985.317077821092
9,13,2.0,6667.260996197798
18,8,8.0,5070.036689521856
25,20,4.0,6752.539790186302
6,1,4.0,5061.209637696098
27,11,2.0,7209.119435598184
22,19,2.0,15854.162802392417
12,13,4.0,6496.539411570602
11,3,4.0,13452.658562435594
14,15,2.0,5976.584265660445
13,15,4.0,9452.468353667273
5,23,6.0,5577.973534525652
5,19,4.0,4605.451904737733
18,27,4.0,3638.369754592197
22,4,4.0,6025.429478381828
