srcNodeId,dstNodeId,cost,bandwidth,latency
1,7,3580.0,20.0,1676.31
1,12,7880.0,20.0,1718.01
1,13,4870.0,20.0,1697.66
1,14,4870.0,20.0,1692.48
2,4,8740.0,20.0,1706.36
2,22,10030.0,20.0,1731.71
3,15,6160.0,20.0,1693.62
3,16,6160.0,20.0,1697.5
4,8,4440.0,20.0,1682.95
4,27,4870.0,20.0,1693.11
5,9,4870.0,20.0,1684.2
5,13,4010.0,20.0,1685.27
5,18,6160.0,20.0,1691.97
5,21,4440.0,20.0,1680.22
5,26,6160.0,20.0,1707.51
6,16,6590.0,20.0,1695.81
6,20,6160.0,20.0,1693.01
7,11,4440.0,20.0,1689.9
7,20,6160.0,20.0,1682.27
8,21,5730.0,20.0,1696.86
8,26,6590.0,20.0,1693.52
9,19,6160.0,20.0,1691.46
10,12,4440.0,20.0,1683.51
10,14,5730.0,20.0,1701.92
11,13,5300.0,20.0,1686.7
11,18,4440.0,20.0,1686.32
11,24,3580.0,20.0,1677.45
14,20,4870.0,20.0,1686.63
15,20,5300.0,20.0,1687.95
17,18,4870.0,20.0,1686.27
17,22,6160.0,20.0,1693.68
17,28,4010.0,20.0,1678.2
18,25,4870.0,20.0,1693.66
19,23,5300.0,20.0,1708.64
20,24,5300.0,20.0,1695.71
21,25,4010.0,20.0,1681.63
22,27,6160.0,20.0,1694.68
23,26,8740.0,20.0,1706.32
28,15,4870.0,20.0,1690.04
24,28,3150.0,20.0,1674.54
25,27,4440.0,20.0,1681.24
7,1,3580.0,20.0,1676.31
12,1,7880.0,20.0,1718.01
13,1,4870.0,20.0,1697.66
14,1,4870.0,20.0,1692.48
4,2,8740.0,20.0,1706.36
22,2,10030.0,20.0,1731.71
15,3,6160.0,20.0,1693.62
16,3,6160.0,20.0,1697.5
8,4,4440.0,20.0,1682.95
27,4,4870.0,20.0,1693.11
9,5,4870.0,20.0,1684.2
13,5,4010.0,20.0,1685.27
18,5,6160.0,20.0,1691.97
21,5,4440.0,20.0,1680.22
26,5,6160.0,20.0,1707.51
16,6,6590.0,20.0,1695.81
20,6,6160.0,20.0,1693.01
11,7,4440.0,20.0,1689.9
20,7,6160.0,20.0,1682.27
21,8,5730.0,20.0,1696.86
26,8,6590.0,20.0,1693.52
19,9,6160.0,20.0,1691.46
12,10,4440.0,20.0,1683.51
14,10,5730.0,20.0,1701.92
13,11,5300.0,20.0,1686.7
18,11,4440.0,20.0,1686.32
24,11,3580.0,20.0,1677.45
20,14,4870.0,20.0,1686.63
20,15,5300.0,20.0,1687.95
18,17,4870.0,20.0,1686.27
22,17,6160.0,20.0,1693.68
28,17,4010.0,20.0,1678.2
25,18,4870.0,20.0,1693.66
23,19,5300.0,20.0,1708.64
24,20,5300.0,20.0,1695.71
25,21,4010.0,20.0,1681.63
27,22,6160.0,20.0,1694.68
26,23,8740.0,20.0,1706.32
15,28,4870.0,20.0,1690.04
28,24,3150.0,20.0,1674.54
27,25,4440.0,20.0,1681.24
