srcNodeId,dstNodeId,cost,bandwidth,latency
1,2,25550.0,1000.0,41.17
2,3,18340.0,1000.0,42.82
3,4,28000.0,1000.0,41.06
4,5,33580.0,1000.0,43.78
5,6,14810.0,1000.0,43.09
6,7,6920.0,1000.0,40.22
7,8,33440.0,1000.0,41.7
8,9,9500.0,1000.0,39.25
9,10,17800.0,1000.0,41.2
9,12,16300.0,1000.0,37.68
10,12,4880.0,1000.0,39.21
11,12,10180.0,1000.0,42.55
10,11,5830.0,1000.0,38.32
11,26,11000.0,1000.0,37.7
25,26,2430.0,1000.0,37.3
23,25,17120.0,1000.0,38.08
24,25,15080.0,1000.0,39.0
23,24,4200.0,1000.0,40.03
22,24,29500.0,1000.0,42.95
23,27,11540.0,1000.0,42.07
22,23,25420.0,1000.0,37.92
21,22,7190.0,1000.0,40.01
1,21,21200.0,1000.0,39.55
20,21,24060.0,1000.0,43.76
1,20,27050.0,1000.0,40.36
20,22,16850.0,1000.0,47.08
2,20,27590.0,1000.0,39.11
20,27,21740.0,1000.0,42.34
22,27,29360.0,1000.0,41.47
19,20,26230.0,1000.0,40.47
19,27,15080.0,1000.0,45.19
4,19,45540.0,1000.0,45.56
18,19,14260.0,1000.0,41.45
16,19,17660.0,1000.0,48.77
19,24,19300.0,1000.0,50.55
16,24,25140.0,1000.0,40.73
16,26,7870.0,1000.0,44.65
15,16,10050.0,1000.0,36.27
11,15,8140.0,1000.0,41.23
13,15,9780.0,1000.0,42.52
16,17,25420.0,1000.0,43.83
16,18,25420.0,1000.0,50.81
17,18,38200.0,1000.0,44.02
5,18,32760.0,1000.0,40.92
14,17,25280.0,1000.0,38.45
5,14,25690.0,1000.0,41.54
6,14,19840.0,1000.0,40.05
7,14,20660.0,1000.0,42.55
13,17,13180.0,1000.0,38.61
12,13,10460.0,1000.0,40.58
24,27,8010.0,1000.0,39.93
2,1,25550.0,1000.0,41.17
3,2,18340.0,1000.0,42.82
4,3,28000.0,1000.0,41.06
5,4,33580.0,1000.0,43.78
6,5,14810.0,1000.0,43.09
7,6,6920.0,1000.0,40.22
8,7,33440.0,1000.0,41.7
9,8,9500.0,1000.0,39.25
10,9,17800.0,1000.0,41.2
12,9,16300.0,1000.0,37.68
12,10,4880.0,1000.0,39.21
12,11,10180.0,1000.0,42.55
11,10,5830.0,1000.0,38.32
26,11,11000.0,1000.0,37.7
26,25,2430.0,1000.0,37.3
25,23,17120.0,1000.0,38.08
25,24,15080.0,1000.0,39.0
24,23,4200.0,1000.0,40.03
24,22,29500.0,1000.0,42.95
27,23,11540.0,1000.0,42.07
23,22,25420.0,1000.0,37.92
22,21,7190.0,1000.0,40.01
21,1,21200.0,1000.0,39.55
21,20,24060.0,1000.0,43.76
20,1,27050.0,1000.0,40.36
22,20,16850.0,1000.0,47.08
20,2,27590.0,1000.0,39.11
27,20,21740.0,1000.0,42.34
27,22,29360.0,1000.0,41.47
20,19,26230.0,1000.0,40.47
27,19,15080.0,1000.0,45.19
19,4,45540.0,1000.0,45.56
19,18,14260.0,1000.0,41.45
19,16,17660.0,1000.0,48.77
24,19,19300.0,1000.0,50.55
24,16,25140.0,1000.0,40.73
26,16,7870.0,1000.0,44.65
16,15,10050.0,1000.0,36.27
15,11,8140.0,1000.0,41.23
15,13,9780.0,1000.0,42.52
17,16,25420.0,1000.0,43.83
18,16,25420.0,1000.0,50.81
18,17,38200.0,1000.0,44.02
18,5,32760.0,1000.0,40.92
17,14,25280.0,1000.0,38.45
14,5,25690.0,1000.0,41.54
14,6,19840.0,1000.0,40.05
14,7,20660.0,1000.0,42.55
17,13,13180.0,1000.0,38.61
13,12,10460.0,1000.0,40.58
27,24,8010.0,1000.0,39.93
