srcNodeId,dstNodeId,cost,bandwidth,latency
1,13,178.0,155.0,21.28
1,14,84.0,155.0,24.74
1,17,56.0,155.0,24.71
1,20,169.0,155.0,24.43
1,29,181.0,155.0,22.67
2,4,262.0,155.0,27.31
2,5,259.0,155.0,24.15
2,32,226.0,155.0,25.11
2,40,186.0,155.0,27.66
3,18,62.0,155.0,24.12
3,22,95.0,155.0,23.7
3,24,216.0,155.0,22.13
3,26,156.0,155.0,22.44
4,6,152.0,155.0,31.16
4,11,83.0,155.0,22.68
4,14,168.0,155.0,22.02
4,37,199.0,155.0,25.99
5,32,82.0,155.0,21.95
5,34,137.0,155.0,26.62
5,38,96.0,155.0,21.03
6,11,213.0,155.0,33.08
6,14,192.0,155.0,32.42
6,30,218.0,155.0,28.8
6,37,104.0,155.0,27.52
7,10,321.0,155.0,24.36
7,25,253.0,155.0,26.83
7,30,325.0,155.0,25.04
7,36,280.0,155.0,29.12
8,9,41.0,155.0,24.77
8,15,159.0,155.0,22.9
8,16,144.0,155.0,26.36
8,33,164.0,155.0,22.21
9,15,164.0,155.0,23.03
9,16,154.0,155.0,26.76
9,19,182.0,155.0,25.95
9,33,164.0,155.0,26.83
10,23,182.0,155.0,22.94
10,30,208.0,155.0,26.27
10,36,201.0,155.0,28.47
10,40,234.0,155.0,29.06
11,13,148.0,155.0,23.09
11,20,185.0,155.0,26.49
12,15,161.0,155.0,23.55
12,16,186.0,155.0,25.21
12,33,140.0,155.0,23.81
12,39,175.0,155.0,26.63
13,20,42.0,155.0,23.67
13,29,123.0,155.0,22.37
14,29,234.0,155.0,22.26
14,37,136.0,155.0,25.64
15,16,26.0,155.0,23.64
16,28,72.0,155.0,22.54
17,20,223.0,155.0,29.51
17,29,237.0,155.0,25.44
17,37,150.0,155.0,29.61
18,22,114.0,155.0,23.59
18,24,210.0,155.0,26.58
18,26,217.0,155.0,25.61
19,26,167.0,155.0,25.65
19,27,136.0,155.0,26.01
19,28,392.0,155.0,33.02
19,31,95.0,155.0,26.05
21,28,230.0,155.0,33.06
21,34,346.0,155.0,24.79
21,35,34.0,155.0,26.3
21,39,217.0,155.0,22.66
22,23,213.0,155.0,23.5
22,24,125.0,155.0,24.53
23,24,91.0,155.0,26.43
23,40,376.0,155.0,26.63
24,26,267.0,155.0,24.16
25,32,761.0,155.0,29.26
25,36,373.0,155.0,25.49
25,37,323.0,155.0,28.87
25,38,814.0,155.0,28.62
26,27,185.0,155.0,24.81
27,31,67.0,155.0,21.81
