srcNodeId,dstNodeId,bandwidth,latency
17,2,1000.0,1995.6078755137528
14,16,500.0,1380.3480588510083
11,4,1000.0,506.47
22,4,50.0,587.78
8,11,1000.0,1085.4144809978561
25,17,500.0,2348.5848737954425
7,6,500.0,1226.0120638107473
25,6,50.0,2004.7584098838886
4,22,1000.0,587.78
3,12,1000.0,1411.0430994995204
6,9,500.0,1578.2612563882224
11,14,100.0,450.91
21,7,100.0,1394.1956671151922
1,25,500.0,1326.8513689936249
24,7,1000.0,2003.9183719886723
13,24,1000.0,1435.8795753583076
13,1,1000.0,515.61
5,25,50.0,3344.5913714045505
4,7,500.0,1625.116127218239
14,23,1000.0,603.13
14,8,500.0,516.8684362713883
8,18,50.0,1369.596609398564
17,18,50.0,1411.2472110190333
9,23,500.0,1653.2508694361682
13,12,100.0,1506.8494995294582
17,23,1000.0,848.0518459204322
24,22,1000.0,1673.975196965323
25,13,100.0,1698.1783117992825
11,16,50.0,1284.7388731516098
18,2,50.0,1136.2447693604186
17,21,500.0,1528.1336777794318
12,25,100.0,2665.5974271609907
25,2,50.0,1026.1917645465362
14,1,500.0,816.9833485405903
2,5,50.0,1105.191425377349
5,20,1000.0,1356.6189313243824
12,22,100.0,530.43
11,3,1000.0,1084.4789147425356
4,3,1000.0,1563.7542267903889
8,4,100.0,1374.5890391256166
7,20,1000.0,2350.803305495859
19,3,100.0,1378.0874726953514
17,10,100.0,1500.0113285731366
16,17,1000.0,1636.3168869493693
11,20,100.0,1094.7582748683822
18,7,100.0,1228.951348794681
7,16,50.0,1524.7467782660974
10,9,1000.0,988.827998267454
22,10,1000.0,1973.860281738882
3,18,1000.0,1277.598725596198
14,20,500.0,594.32
20,14,50.0,594.32
14,22,50.0,3182.3904138688845
13,3,500.0,1212.7431992454212
23,13,50.0,475.09
17,22,500.0,1263.425297502829
1,9,500.0,642.38
17,3,50.0,1491.8412808396938
8,14,100.0,860.8870697378918
25,14,50.0,1376.70731581408
19,5,500.0,1495.801078378866
1,16,1000.0,1481.6199160721935
11,9,100.0,1153.8020717727782
15,6,1000.0,1450.7327230570995
12,7,50.0,1050.1649834220816
14,15,50.0,930.7187864112702
12,3,100.0,1190.8067263379432
12,14,100.0,1181.10781652231
16,1,500.0,1420.2073276698175
4,25,500.0,1724.1086883533012
16,25,1000.0,2021.5056811027773
10,1,1000.0,1086.9383171857583
18,10,100.0,1666.0091283636757
17,15,50.0,1337.687558855293
1,12,500.0,1105.7598369020884
25,11,50.0,1556.2026210981016
15,1,1000.0,789.4941540798181
5,3,50.0,2407.330899316319
21,5,100.0,1610.3011586676894
24,1,500.0,1089.7806104675515
23,8,100.0,864.1140182850747
18,6,50.0,1070.5795837784794
2,10,100.0,536.53
7,17,500.0,2666.9443156203843
24,17,50.0,1839.7286419801305
2,12,500.0,792.2453771453415
5,17,50.0,1648.8044921146547
1,4,50.0,552.09
2,23,500.0,1635.0832651794844
22,25,100.0,2535.1874074437337
10,14,1000.0,624.4
4,5,1000.0,1222.2656239570317
18,12,50.0,706.97
18,17,500.0,2032.9956764138542
9,22,50.0,568.22
15,13,1000.0,1423.0339203947583
10,5,500.0,614.66
5,11,100.0,535.02
22,14,50.0,1293.8376252123185
2,3,1000.0,574.38
23,18,100.0,1206.7428953964495
2,14,500.0,1183.5539494805455
21,6,50.0,1141.614539796048
15,9,50.0,978.5457466745451
13,20,1000.0,913.6347583972599
4,23,500.0,1037.3658415933492
6,15,1000.0,2403.945341572198
21,9,500.0,1711.70864810716
12,23,1000.0,1181.931145767461
19,12,50.0,581.21
22,3,50.0,2190.715071401779
6,1,500.0,1023.9523098644877
25,15,500.0,1109.382958110422
8,7,500.0,1555.4521468982896
7,21,500.0,1956.9210642220778
18,11,1000.0,877.9160428237774
8,13,50.0,1215.4807270300846
20,3,500.0,1456.8694039792238
20,6,100.0,1185.8452020269258
10,21,1000.0,1442.1661535428993
17,20,50.0,1675.0004409946519
18,4,1000.0,695.43
2,9,1000.0,1491.4520560610722
5,1,500.0,1293.9749519788347
13,19,1000.0,436.38
8,5,1000.0,2245.757317794021
13,18,100.0,843.5501981792362
16,8,1000.0,1880.1356537895836
20,15,500.0,626.16
18,15,100.0,1287.651692154203
5,19,50.0,1358.155346246227
12,1,100.0,1010.3440376406327
17,12,1000.0,1421.9561452866496
24,16,50.0,1964.97686908419
16,14,1000.0,1341.8677208687432
20,7,100.0,1376.3471614160576
1,5,1000.0,1236.6344243758967
16,23,50.0,1374.1273582819435
20,1,500.0,558.46
16,13,500.0,809.922949242029
3,4,50.0,1541.817388111668
14,10,500.0,624.4
19,4,100.0,742.05
4,10,500.0,695.7433896487476
19,8,1000.0,1455.9061538338137
24,5,500.0,1736.9497092435936
19,2,1000.0,1008.463404773391
6,4,100.0,1149.7580498221048
12,21,500.0,1270.9623816888459
17,6,100.0,1928.277033273614
13,25,500.0,1817.9974691519988
5,21,100.0,1503.6059570556326
