srcNodeId,dstNodeId,cost,bandwidth,latency
9,20,10.0,5000.0,573.04
14,25,10.0,5000.0,190.25
21,23,10.0,5000.0,814.25
2,25,2.5,20000.0,637.42
16,24,2.5,20000.0,861.5
11,25,2.5,20000.0,477.44
19,24,2.5,20000.0,325.24
5,14,5.0,10000.0,426.88
2,24,1.0,50000.0,546.48
12,21,5.0,10000.0,154.9
14,19,1.0,50000.0,341.88
4,11,1.0,50000.0,346.75
8,10,1.0,50000.0,713.45
3,8,5.0,10000.0,641.07
2,13,1.0,50000.0,634.73
4,10,5.0,10000.0,511.05
7,20,1.0,50000.0,803.16
4,8,1.0,50000.0,661.11
8,23,10.0,5000.0,859.64
13,19,2.5,20000.0,168.64
3,4,5.0,10000.0,221.71
6,8,2.5,20000.0,89.02
5,22,5.0,10000.0,347.16
6,17,5.0,10000.0,282.58
6,13,2.5,20000.0,145.64
22,24,5.0,10000.0,480.61
8,16,2.5,20000.0,628.86
10,21,5.0,10000.0,683.19
16,22,1.0,50000.0,394.24
16,17,2.5,20000.0,542.86
11,16,1.0,50000.0,321.88
2,4,2.5,20000.0,338.51
2,14,5.0,10000.0,787.75
2,3,1.0,50000.0,126.27
15,20,1.0,50000.0,602.16
3,25,10.0,5000.0,609.91
5,7,2.5,20000.0,203.65
5,15,2.5,20000.0,50.0
13,14,10.0,5000.0,226.62
10,15,2.5,20000.0,823.58
18,22,1.0,50000.0,515.37
3,5,5.0,10000.0,505.01
1,22,1.0,50000.0,338.08
11,21,5.0,10000.0,464.49
3,11,5.0,10000.0,230.2
4,24,10.0,5000.0,885.77
9,21,2.5,20000.0,845.53
10,18,2.5,20000.0,693.72
9,15,5.0,10000.0,773.86
7,18,10.0,5000.0,359.34
6,16,10.0,5000.0,652.58
8,18,2.5,20000.0,40.72
15,21,5.0,10000.0,152.02
12,23,1.0,50000.0,781.6
2,7,10.0,5000.0,265.64
12,16,5.0,10000.0,598.04
1,6,10.0,5000.0,414.23
16,25,10.0,5000.0,434.17
13,24,2.5,20000.0,274.52
2,15,2.5,20000.0,445.38
4,20,10.0,5000.0,333.49
14,23,5.0,10000.0,600.8
11,23,2.5,20000.0,732.48
8,24,5.0,10000.0,313.85
10,19,1.0,50000.0,793.49
7,12,10.0,5000.0,448.14
14,17,10.0,5000.0,635.84
3,16,10.0,5000.0,224.93
3,10,1.0,50000.0,638.12
1,7,2.5,20000.0,409.38
2,8,2.5,20000.0,554.92
7,9,2.5,20000.0,528.93
20,21,5.0,10000.0,593.53
13,17,1.0,50000.0,419.57
10,12,5.0,10000.0,646.76
20,9,10.0,5000.0,573.04
25,14,10.0,5000.0,190.25
23,21,10.0,5000.0,814.25
25,2,2.5,20000.0,637.42
24,16,2.5,20000.0,861.5
25,11,2.5,20000.0,477.44
24,19,2.5,20000.0,325.24
14,5,5.0,10000.0,426.88
24,2,1.0,50000.0,546.48
21,12,5.0,10000.0,154.9
19,14,1.0,50000.0,341.88
11,4,1.0,50000.0,346.75
10,8,1.0,50000.0,713.45
8,3,5.0,10000.0,641.07
13,2,1.0,50000.0,634.73
10,4,5.0,10000.0,511.05
20,7,1.0,50000.0,803.16
8,4,1.0,50000.0,661.11
23,8,10.0,5000.0,859.64
19,13,2.5,20000.0,168.64
4,3,5.0,10000.0,221.71
8,6,2.5,20000.0,89.02
22,5,5.0,10000.0,347.16
17,6,5.0,10000.0,282.58
13,6,2.5,20000.0,145.64
24,22,5.0,10000.0,480.61
16,8,2.5,20000.0,628.86
21,10,5.0,10000.0,683.19
22,16,1.0,50000.0,394.24
17,16,2.5,20000.0,542.86
16,11,1.0,50000.0,321.88
4,2,2.5,20000.0,338.51
14,2,5.0,10000.0,787.75
3,2,1.0,50000.0,126.27
20,15,1.0,50000.0,602.16
25,3,10.0,5000.0,609.91
7,5,2.5,20000.0,203.65
15,5,2.5,20000.0,50.0
14,13,10.0,5000.0,226.62
15,10,2.5,20000.0,823.58
22,18,1.0,50000.0,515.37
5,3,5.0,10000.0,505.01
22,1,1.0,50000.0,338.08
21,11,5.0,10000.0,464.49
11,3,5.0,10000.0,230.2
24,4,10.0,5000.0,885.77
21,9,2.5,20000.0,845.53
18,10,2.5,20000.0,693.72
15,9,5.0,10000.0,773.86
18,7,10.0,5000.0,359.34
16,6,10.0,5000.0,652.58
18,8,2.5,20000.0,40.72
21,15,5.0,10000.0,152.02
23,12,1.0,50000.0,781.6
7,2,10.0,5000.0,265.64
16,12,5.0,10000.0,598.04
6,1,10.0,5000.0,414.23
25,16,10.0,5000.0,434.17
24,13,2.5,20000.0,274.52
15,2,2.5,20000.0,445.38
20,4,10.0,5000.0,333.49
23,14,5.0,10000.0,600.8
23,11,2.5,20000.0,732.48
24,8,5.0,10000.0,313.85
19,10,1.0,50000.0,793.49
12,7,10.0,5000.0,448.14
17,14,10.0,5000.0,635.84
16,3,10.0,5000.0,224.93
10,3,1.0,50000.0,638.12
7,1,2.5,20000.0,409.38
8,2,2.5,20000.0,554.92
9,7,2.5,20000.0,528.93
21,20,5.0,10000.0,593.53
17,13,1.0,50000.0,419.57
12,10,5.0,10000.0,646.76
