srcNodeId,dstNodeId,cost,bandwidth,latency
1,2,25.55,40.0,839.85
6,5,14.81,40.0,837.07
13,12,10.46,40.0,837.16
24,27,8.01,40.0,839.11
27,24,8.01,40.0,839.11
6,7,6.92,40.0,837.56
7,6,6.92,40.0,837.56
7,8,33.44,40.0,835.94
8,7,33.44,40.0,835.94
8,9,9.5,40.0,835.76
9,8,9.5,40.0,835.76
9,10,17.8,40.0,837.44
10,9,17.8,40.0,837.44
9,12,16.3,40.0,839.4
2,1,25.55,40.0,839.85
12,9,16.3,40.0,839.4
10,12,4.88,40.0,839.75
12,10,4.88,40.0,839.75
11,12,10.18,40.0,842.0
12,11,10.18,40.0,842.0
10,11,5.83,40.0,842.26
11,10,5.83,40.0,842.26
11,26,11.0,40.0,843.67
26,11,11.0,40.0,843.67
25,26,2.43,40.0,839.93
2,3,18.34,40.0,838.49
26,25,2.43,40.0,839.93
23,25,17.12,40.0,842.66
25,23,17.12,40.0,842.66
24,25,15.08,40.0,842.35
25,24,15.08,40.0,842.35
23,24,4.2,40.0,838.41
24,23,4.2,40.0,838.41
22,24,29.5,40.0,840.71
24,22,29.5,40.0,840.71
23,27,11.54,40.0,842.48
3,2,18.34,40.0,838.49
27,23,11.54,40.0,842.48
22,23,25.42,40.0,839.99
23,22,25.42,40.0,839.99
21,22,7.19,40.0,838.42
22,21,7.19,40.0,838.42
1,21,21.2,40.0,837.12
21,1,21.2,40.0,837.12
20,21,24.06,40.0,838.49
21,20,24.06,40.0,838.49
1,20,27.05,40.0,837.13
3,4,28.0,40.0,839.09
20,1,27.05,40.0,837.13
20,22,16.85,40.0,841.71
22,20,16.85,40.0,841.71
2,20,27.59,40.0,838.89
20,2,27.59,40.0,838.89
20,27,21.74,40.0,838.54
27,20,21.74,40.0,838.54
22,27,29.36,40.0,839.42
27,22,29.36,40.0,839.42
19,20,26.23,40.0,840.09
4,3,28.0,40.0,839.09
20,19,26.23,40.0,840.09
19,27,15.08,40.0,841.55
27,19,15.08,40.0,841.55
4,19,45.54,40.0,841.68
19,4,45.54,40.0,841.68
18,19,14.26,40.0,838.38
19,18,14.26,40.0,838.38
16,19,17.66,40.0,845.03
19,16,17.66,40.0,845.03
19,24,19.3,40.0,846.18
4,5,33.58,40.0,838.57
24,19,19.3,40.0,846.18
16,24,25.14,40.0,837.66
24,16,25.14,40.0,837.66
16,26,7.87,40.0,843.81
26,16,7.87,40.0,843.81
15,16,10.05,40.0,842.42
16,15,10.05,40.0,842.42
11,15,8.14,40.0,840.34
15,11,8.14,40.0,840.34
13,15,9.78,40.0,839.51
5,4,33.58,40.0,838.57
15,13,9.78,40.0,839.51
16,17,25.42,40.0,839.08
17,16,25.42,40.0,839.08
16,18,25.42,40.0,842.12
18,16,25.42,40.0,842.12
17,18,38.2,40.0,840.45
18,17,38.2,40.0,840.45
5,18,32.76,40.0,844.49
18,5,32.76,40.0,844.49
14,17,25.28,40.0,840.56
5,6,14.81,40.0,837.07
17,14,25.28,40.0,840.56
5,14,25.69,40.0,842.25
14,5,25.69,40.0,842.25
6,14,19.84,40.0,841.87
14,6,19.84,40.0,841.87
7,14,20.66,40.0,841.68
14,7,20.66,40.0,841.68
13,17,13.18,40.0,837.32
17,13,13.18,40.0,837.32
12,13,10.46,40.0,837.16
