srcNodeId,dstNodeId,bandwidth,latency
8,15,12.0,3353.2528902764016
26,27,3.0,2520.800031294625
24,12,6.0,3356.0955937216677
19,26,2.0,2408.2937595711564
11,20,14.0,3905.4343809978113
5,14,1.0,1668.47
17,15,11.0,2644.850257339135
8,19,5.0,4235.392549402916
23,24,12.0,839.59
23,18,5.0,2522.923672804458
7,26,13.0,3384.2053350424917
7,6,10.0,842.88
9,24,5.0,4200.194277393294
17,14,8.0,1019.0141856386226
18,11,10.0,3640.5166941572957
5,13,6.0,3619.8982906328524
16,27,5.0,1683.4076086539767
13,23,13.0,3883.760856572925
22,1,5.0,2960.676365508537
21,17,4.0,3936.3670523478513
18,27,10.0,2274.156465445086
2,7,9.0,5747.996438657184
14,24,1.0,2972.003013511554
16,4,3.0,2421.625394025161
9,13,2.0,2688.2445417205113
4,23,2.0,2526.261513230694
12,18,3.0,2909.193379669012
25,23,10.0,1161.7838086861354
14,2,10.0,3672.26325277848
20,23,2.0,2057.6207655878275
26,16,3.0,1274.7878223327327
1,13,1.0,4197.072898344143
21,3,4.0,3469.8718624358526
14,6,9.0,847.32
11,23,2.0,3219.131825646982
22,19,2.0,1681.774430920104
1,2,8.0,842.43
21,22,13.0,971.5533885232117
21,5,6.0,3373.42328316992
25,18,1.0,2525.629051122162
25,8,2.0,5012.403256498492
20,18,10.0,1694.4704471220796
15,11,3.0,846.7
24,4,4.0,2163.202276190797
19,25,4.0,1888.9160079229514
22,26,2.0,2522.3568686786534
