srcNodeId,dstNodeId,cost,bandwidth,latency
20,3,162160.0,504000.0,4.86
20,4,280095.0,504000.0,4.86
20,12,398029.0,504000.0,9.68
20,15,987702.0,504000.0,8.23
17,20,88450.9,1.008e6,5.73
20,22,1.10564e6,504000.0,6.13
20,23,619156.0,504000.0,5.84
21,10,309578.0,504000.0,3.67
23,9,456996.0,504000.0,6.09
23,14,280095.0,504000.0,4.12
23,24,117935.0,504000.0,3.54
24,14,176902.0,504000.0,2.19
2,12,796058.0,504000.0,7.59
2,15,884509.0,504000.0,11.1
3,14,545447.0,504000.0,4.78
3,15,840284.0,504000.0,7.0
4,8,648640.0,504000.0,2.24
3,5,398029.0,1.008e6,2.77
5,6,206385.0,504000.0,1.88
5,15,456996.0,504000.0,5.55
6,15,250611.0,504000.0,4.32
8,22,191644.0,504000.0,3.22
10,15,456996.0,504000.0,8.2
11,15,368546.0,504000.0,3.01
15,16,29483.6,504000.0,6.3
17,1,353804.0,504000.0,5.9
18,11,280095.0,504000.0,1.76
18,21,280095.0,504000.0,1.86
2,19,398029.0,504000.0,2.86
15,19,486480.0,504000.0,10.8
15,18,235869.0,504000.0,3.44
1,9,943476.0,504000.0,2.67
1,20,427513.0,504000.0,4.97
12,22,751833.0,504000.0,4.75
8,20,928735.0,504000.0,3.65
2,5,781316.0,504000.0,7.63
5,12,855026.0,504000.0,5.9
11,16,339062.0,1.008e6,3.57
18,16,221127.0,1.008e6,4.67
16,10,427513.0,504000.0,8.84
16,19,471738.0,504000.0,6.38
9,20,1.07615e6,504000.0,3.19
15,23,1.60686e6,504000.0,6.71
7,19,265353.0,504000.0,7.5
4,12,117935.0,504000.0,9.41
12,13,442255.0,504000.0,3.95
5,13,427513.0,504000.0,4.41
2,13,368546.0,504000.0,4.14
7,16,206385.0,504000.0,5.32
17,23,530706.0,504000.0,4.05
10,7,221127.0,504000.0,11.03
3,20,162160.0,504000.0,4.86
4,20,280095.0,504000.0,4.86
12,20,398029.0,504000.0,9.68
15,20,987702.0,504000.0,8.23
20,17,88450.9,504000.0,5.73
22,20,1.10564e6,504000.0,6.13
23,20,619156.0,504000.0,5.84
10,21,309578.0,504000.0,3.67
9,23,456996.0,504000.0,6.09
14,23,280095.0,504000.0,4.12
24,23,117935.0,504000.0,3.54
14,24,176902.0,504000.0,2.19
12,2,796058.0,504000.0,7.59
15,2,884509.0,504000.0,11.1
14,3,545447.0,504000.0,4.78
15,3,840284.0,504000.0,7.0
8,4,648640.0,504000.0,2.24
5,3,398029.0,504000.0,2.77
6,5,206385.0,504000.0,1.88
15,5,456996.0,504000.0,5.55
15,6,250611.0,504000.0,4.32
22,8,191644.0,504000.0,3.22
15,10,456996.0,504000.0,8.2
15,11,368546.0,504000.0,3.01
16,15,29483.6,504000.0,6.3
1,17,353804.0,504000.0,5.9
11,18,280095.0,504000.0,1.76
21,18,280095.0,504000.0,1.86
19,2,398029.0,504000.0,2.86
19,15,486480.0,504000.0,10.8
18,15,235869.0,504000.0,3.44
9,1,943476.0,504000.0,2.67
20,1,427513.0,504000.0,4.97
22,12,751833.0,504000.0,4.75
20,8,928735.0,504000.0,3.65
5,2,781316.0,504000.0,7.63
12,5,855026.0,504000.0,5.9
16,11,339062.0,504000.0,3.57
16,18,221127.0,504000.0,4.67
10,16,427513.0,504000.0,8.84
19,16,471738.0,504000.0,6.38
20,9,1.07615e6,504000.0,3.19
23,15,1.60686e6,504000.0,6.71
19,7,265353.0,504000.0,7.5
12,4,117935.0,504000.0,9.41
13,12,442255.0,504000.0,3.95
13,5,427513.0,504000.0,4.41
13,2,368546.0,504000.0,4.14
16,7,206385.0,504000.0,5.32
23,17,530706.0,504000.0,4.05
7,10,221127.0,504000.0,11.03
