srcNodeId,dstNodeId,bandwidth,latency
18,45,25.0,148.22929467232797
48,6,13.0,210.00986769405594
27,3,36.0,120.55731342193764
3,14,16.0,86.469256914779
30,31,47.0,115.33463257704325
44,48,54.0,154.39683676606802
29,6,7.0,116.5227356017415
19,7,62.0,96.1834894494948
33,28,83.0,91.25259357584613
28,40,24.0,92.20716666584791
1,12,110.0,190.67362999458254
22,20,46.0,100.23053686119138
16,53,38.0,164.87254153205046
14,41,66.0,120.85266614311178
45,32,17.0,191.05068780759893
32,50,9.0,23.93
31,50,20.0,120.63740095549107
2,15,22.0,169.4280784234602
38,53,31.0,167.95355333996645
39,28,34.0,111.0866353228936
46,22,28.0,95.93400809141546
13,51,16.0,122.77341997386415
7,43,36.0,125.67199219492227
26,35,39.0,74.00453466308316
23,36,70.0,78.28147520582746
42,22,20.0,131.48161988179285
3,7,76.0,105.91339184707122
3,19,80.0,161.25125956702976
35,3,31.0,106.26256554403523
44,49,28.0,190.11864319075505
41,52,58.0,97.54361396644154
30,49,36.0,65.43338294704509
46,5,17.0,111.52956425792775
7,30,110.0,70.01681578325639
16,27,34.0,114.66726558182152
28,35,27.0,52.06
39,49,92.0,187.09524683838524
2,30,57.0,66.59780161094059
40,20,78.0,158.92578366707943
46,37,51.0,98.83433704474734
46,51,78.0,94.70912592286363
21,40,5.0,102.49208982583826
46,40,28.0,116.76429714778862
49,45,14.0,164.76050674950926
42,14,72.0,98.10325337638866
37,12,91.0,229.30546986037257
19,24,70.0,104.63865380277386
13,19,78.0,41.28
5,14,36.0,114.78430915772172
44,1,24.0,123.59804716840483
45,35,19.0,90.20967616852224
38,14,38.0,72.48923746798152
29,2,95.0,96.25869183025483
19,49,39.0,83.29047884485726
5,41,62.0,86.12021367859845
39,20,7.0,112.0472509302837
5,16,11.0,133.9610371472265
12,7,39.0,100.6646577165561
7,11,17.0,114.39505678083168
33,50,58.0,111.78645640242779
2,10,52.0,148.8241614075274
39,26,62.0,107.27833765422095
33,27,26.0,65.14763946197424
19,34,10.0,124.99089090075798
18,13,484.0,154.82515739286066
20,52,62.0,76.19491576245733
46,4,57.0,90.904124130752
32,41,23.0,103.43805520791337
54,8,68.0,65.28614182970625
45,14,6.0,108.0654359142699
24,35,57.0,56.687322076226266
10,45,484.0,174.7367579393024
19,15,110.0,168.10430379899077
11,26,82.0,74.55770436819321
28,4,120.0,101.6919435584304
34,32,23.0,107.09365104320904
44,12,46.0,72.06090888041723
45,12,25.0,105.4214053807915
2,19,69.0,140.76321188432001
5,20,62.0,139.28666794546675
48,5,484.0,205.96745134423446
49,54,5.0,130.59322571115308
39,17,63.0,143.86361591064045
2,17,36.0,123.49843902164892
32,7,110.0,150.97354361348926
31,46,82.0,95.38969689185808
47,37,11.0,179.73948272170406
31,35,48.0,112.9123187553477
49,2,27.0,93.44224223815219
18,15,14.0,156.94509519304222
29,1,76.0,65.0
18,29,13.0,75.4093879155349
34,36,36.0,91.59041848220495
8,11,47.0,93.90040346984654
51,4,52.0,66.58515975744545
20,34,10.0,78.83787822190436
25,32,455.0,148.5777056232045
34,11,92.0,139.66356783538467
